notOutlier_Alive,notOutlier_Death,notOutlier_survival_rate,outlier_Alive,outlier_Death,outlier_survival_rate,seq_survival_rate,support,total_patients,fisherScore,seq
557.0,452.0,0.55203,24.0,0.0,1,0.56244,1033,9110,4.53618285646102E-4,1125315 1174888 -1 1506270 -1  -2 
725.0,572.0,0.55898,29.0,0.0,1,0.56863,1326,9110,4.0274960582377444E-4,1734104 -1 1734104 -1  -2 
539.0,396.0,0.57647,22.0,0.0,1,0.58621,957,9110,3.89308232781096E-4,967823 986417 19049105 -1  -2 
717.0,752.0,0.48809,32.0,0.0,1,0.499,1501,9110,3.8544643730565643E-4,1149380 -1  -2 
652.0,356.0,0.64683,23.0,0.0,1,0.6547,1031,9110,3.4687425377212706E-4,1307046 -1 1539403 -1  -2 
458.0,514.0,0.47119,22.0,0.0,1,0.4829,994,9110,3.15147501236412E-4,1713332 1759842 -1 1125315 -1  -2 
448.0,648.0,0.40876,24.0,0.0,1,0.42143,1120,9110,2.848498189781668E-4,1310149 -1  -2 
595.0,308.0,0.65891,20.0,0.0,1,0.66631,923,9110,2.49059335562313E-4,1308216 -1 1322184 -1  -2 
548.0,647.0,0.45858,25.0,0.0,1,0.46967,1220,9110,2.1820859415313873E-4,1551099 -1 1125315 -1  -2 
651.0,521.0,0.55546,23.0,0.0,1,0.56402,1195,9110,1.1486123292346205E-4,778711 -1  -2 
791.0,401.0,0.66359,15.0,0.0,1,0.66777,1207,9110,1.121225260524567E-4,1322184 -1 1361711 -1  -2 
548.0,695.0,0.44087,24.0,0.0,1,0.45146,1267,9110,1.0210557411397782E-4,1110410 -1  -2 
475.0,654.0,0.42073,22.0,0.0,1,0.4318,1151,9110,1.0167333930493495E-4,1125315 -1 1518254 -1  -2 
677.0,517.0,0.567,23.0,0.0,1,0.57518,1217,9110,9.477189191525631E-5,1177480 -1  -2 
771.0,373.0,0.67395,22.0,0.0,1,0.6801,1166,9110,8.841656008892382E-5,1307046 -1 1361711 -1  -2 
562.0,417.0,0.57406,19.0,0.0,1,0.58216,998,9110,8.257728586559428E-5,1136980 -1  -2 
631.0,295.0,0.68143,18.0,0.0,1,0.6875,944,9110,7.902629834209041E-5,1322184 -1 1539403 -1  -2 
628.0,374.0,0.62675,19.0,0.0,1,0.63369,1021,9110,6.372277075687469E-5,1322184 -1 1713332 -1  -2 
457.0,505.0,0.47505,18.0,0.0,1,0.48469,980,9110,5.080385495917816E-5,904453 -1  -2 
732.0,401.0,0.64607,20.0,0.0,1,0.65221,1153,9110,2.2068981640041002E-5,1322184 -1 1307046 -1  -2 
522.0,505.0,0.50828,18.0,0.0,1,0.51675,1045,9110,1.6749155793003615E-5,1738521 -1  -2 
622.0,304.0,0.67171,16.0,0.0,1,0.67728,942,9110,1.0293207639031919E-5,1510813 -1  -2 
408.0,555.0,0.42368,16.0,0.0,1,0.43309,979,9110,2.226872897136047E-6,1174888 -1 1518254 -1  -2 
732.0,379.0,0.65887,18.0,0.0,1,0.6643,1129,9110,1.6944228904651307E-7,1361711 -1 1361711 -1  -2 
